Build_No.,CPU,Motherboard,RAM,GPU,PSU
1,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6600,RTX 4070 Ti,1000 W
2,AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING WIFI II ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
3,AMD Ryzen 5 5600,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
4,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
5,AMD Ryzen 5 5600X,MSI PRO B550M-VC WIFI Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,600 W
6,Intel Core i5-13600KF,Biostar B760MZ-E PRO Micro ATX,32 GB (2 x 16 GB) DDR5-5600,RTX 4060 Ti,750 W
7,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
8,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4060,750 W
9,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
10,AMD Ryzen 9 7950X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
11,AMD Ryzen 7 7700X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,1000 W
12,AMD Ryzen 5 5600,Gigabyte A520I AC Mini ITX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,1000 W
13,Intel Core i7-13700KF,MSI Z790 GAMING PRO WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
14,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
15,Intel Core i7-13700KF,Gigabyte Z790 UD AC ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
16,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
17,Intel Core i5-13600KF,MSI PRO B760M-A WIFI DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
18,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
19,AMD Ryzen 5 5600,Gigabyte B550 AORUS ELITE AX V2 ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,650 W
20,AMD Ryzen 7 7700X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
21,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
22,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE X WIFI7 ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1300 W
23,AMD Ryzen 5 5600,Asus ROG STRIX B550-A GAMING ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
24,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,850 W
25,AMD Ryzen 5 5600X,ASRock B550 Phantom Gaming 4/ac ATX AM4,16 GB (2 x 8 GB) DDR4-3600,RTX 4060,600 W
26,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,192 GB (4 x 48 GB) DDR5-5200,RTX 4090,1000 W
27,Intel Core i5-13400F,MSI MAG B760M MORTAR WIFI Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
28,AMD Ryzen 7 7700X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,600 W
29,AMD Ryzen 9 7900X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
30,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
31,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
32,AMD Ryzen 9 7900X,MSI MAG X670E TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
33,AMD Ryzen 5 5600X,Asus TUF GAMING X570-PLUS ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
34,AMD Ryzen 5 5600,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,16 GB (2 x 8 GB) DDR4-3000,RTX 4060,850 W
35,AMD Ryzen 5 5600X,ASRock X570 Steel Legend ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
36,AMD Ryzen 5 5600X,Asus TUF GAMING B550M-E WIFI Micro ATX,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
37,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
38,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
39,Intel Core i7-13700KF,Asus ROG STRIX Z790-F GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
40,AMD Ryzen 9 7950X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,850 W
41,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
42,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
43,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,850 W
44,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
45,AMD Ryzen 5 5600X,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,32 GB (4 x 8 GB) DDR4-3200,RTX 4060,550 W
46,Intel Core i5-13400F,Asus ROG STRIX B760-A GAMING WIFI D4 ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
47,Intel Core i7-13700KF,Gigabyte Z790 GAMING X ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
48,AMD Ryzen 5 5600,MSI PRO B550M-VC WIFI Micro ATX AM4 0.00,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
49,AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING WIFI II ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,650 W
50,Intel Core i7-13700KF,MSI MPG Z790 CARBON WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1000 W
51,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
52,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,850 W
53,Intel Core i7-13700KF,NZXT N7 Z790 ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
54,AMD Ryzen 9 7900X,Gigabyte B650 AERO G ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1000 W
55,Intel Core i5-13600KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
56,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
57,Intel Core i7-13700KF,MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
58,AMD Ryzen 9 7900X,Asus PRIME X670-P ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,850 W
59,AMD Ryzen 7 7700X,Gigabyte B650 AORUS PRO AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
60,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5€306.30,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,850 W
61,AMD Ryzen 7 7700X,NZXT N7 B650E ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
62,AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING WIFI II ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,650 W
63,AMD Ryzen 5 5600,Gigabyte B550 AORUS ELITE AX V2 ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,750 W
64,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
65,Intel Core i9-12900KF,NZXT N7-Z69XT-B1 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
66,Intel Core i5-13600KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700 289.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
67,Intel Core i5-13400F,Gigabyte B760M DS3H DDR4 Micro ATX LGA1700,8 GB (1 x 8 GB) DDR4-3200,RTX 4070,750 W
68,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
69,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,1200 W
70,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,850 W
71,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
72,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
73,Intel Core i9-12900KF,Gigabyte Z690 AERO G ATX LGA1700€286.93,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
74,AMD Ryzen 5 5600,Gigabyte B550M K Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
75,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
76,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
77,Intel Core i7-13700KF,Asus ROG STRIX Z790-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,750 W
78,AMD Ryzen 9 7950X,MSI MPG X670E CARBON WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
79,AMD Ryzen 5 5600X,MSI B450I GAMING PLUS AC Mini ITX AM4,16 GB (2 x 8 GB) DDR4-3000,RTX 4060,500 W
80,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,96 GB (2 x 48 GB) DDR5-6000,RTX 4090,1600 W
81,AMD Ryzen 5 5600,Gigabyte B450 I AORUS PRO WIFI Mini ITX,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,850 W
82,Intel Core i5-13400F,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700£163.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
83,Intel Core i7-13700KF,MSI PRO Z790-A MAX WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
84,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
85,Intel Core i5-13600KF,MSI MAG Z790 TOMAHAWK WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,1050 W
86,AMD Ryzen 9 7950X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
87,Intel Core i5-13600KF,ASRock Z790 PG LIGHTNING ATX LGA1700 215.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
88,Intel Core i5-13600KF,ASRock Z790M-ITX WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
89,Intel Core i5-13400F,Gigabyte B760M GAMING X AX DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3000,RTX 4060,800 W
90,AMD Ryzen 5 5600X,MSI B550 GAMING GEN3 ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
91,AMD Ryzen 9 7900X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
92,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
93,AMD Ryzen 9 7900X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
94,Intel Core i5-13600KF,Gigabyte Z790 GAMING X AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,650 W
95,AMD Ryzen 9 7900X,MSI MPG B650 EDGE WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6600,RTX 4070,750 W
96,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
97,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,850 W
98,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
99,Intel Core i5-13400F,Asus PRIME B760M-A WIFI D4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
100,AMD Ryzen 7 7700X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
101,AMD Ryzen 5 5600X,Asus TUF GAMING B550M-E WIFI Micro ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
102,AMD Ryzen 5 5600X,Gigabyte B550I AORUS PRO AX Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,600 W
103,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
104,Intel Core i5-13400F,MSI MAG B760 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,750 W
105,Intel Core i5-13600KF,ASRock B760 Pro RS/D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,750 W
106,Intel Core i5-13400F,Gigabyte B760 GAMING X AX ATX LGA1700£162.47,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,650 W
107,Intel Core i7-13700KF,Gigabyte Z790 AERO G ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
108,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
109,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
110,Intel Core i5-13600KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
111,Intel Core i5-13600KF,Asus ROG STRIX B760-A GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
112,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
113,Intel Core i5-13400F,Gigabyte B760 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
114,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
115,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
116,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
117,AMD Ryzen 5 5600,Gigabyte B550 UD AC ATX AM4 169.49,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
118,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
119,Intel Core i5-13600KF,NZXT N7 Z790 ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
120,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5 100.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
121,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
122,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
123,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
124,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
125,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,750 W
126,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,1500 W
127,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
128,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
129,Intel Core i7-13700F,ASRock B760M Steel Legend WiFi Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,650 W
130,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1500 W
131,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
132,Intel Core i5-13600KF,Asus ROG MAXIMUS Z790 HERO ATX LGA1700€649.00,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,850 W
133,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700 293.25,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
134,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
135,Intel Core i5-13400F,Gigabyte B760M DS3H AX DDR4 Micro ATX LGA1700€128.88,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,750 W
136,Intel Core i7-13700KF,Asus ROG STRIX Z790-F GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
137,AMD Ryzen 7 7700X,Asus ROG CROSSHAIR X670E GENE Micro ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
138,Intel Core i5-13400F,Gigabyte B760M DS3H AX Micro ATX LGA1700,16 GB (2 x 8 GB) DDR5-6000,RTX 4060,700 W
139,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060 Ti,1200 W
140,AMD Ryzen 7 7700X,NZXT N7 B650E ATX AM5£259.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
141,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
142,Intel Core i7-13700KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,850 W
143,Intel Core i5-13400F,MSI PRO B760-VC WIFI ATX LGA1700,16 GB (2 x 8 GB) DDR5-5200,RTX 4060,650 W
144,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
145,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
146,Intel Core i5-13600KF,Asus TUF GAMING B760M-PLUS WIFI D4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,700 W
147,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS WIFI II ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060 Ti,750 W
148,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
149,AMD Ryzen 9 7900X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,1000 W
150,Intel Core i7-13700KF,Asus ROG STRIX B760-A GAMING WIFI D4 ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
151,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
152,AMD Ryzen 5 5600X,Asus PRIME B550M-A WIFI II Micro ATX AM4,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
153,AMD Ryzen 5 5600X,ASRock B550M Steel Legend Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
