Build_No.,CPU,Motherboard,RAM,GPU,PSU
154,AMD Ryzen 9 7900X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
155,Intel Core i5-13600KF,Asus TUF GAMING Z690-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
156,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
157,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
158,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS WIFI II ATX AM4,32 GB (4 x 8 GB) DDR4-3600,RTX 4060,750 W
159,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,192 GB (4 x 48 GB) DDR5-5200,RTX 4090,1600 W
160,Intel Core i5-13400F,MSI PRO Z690-A WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,850 W
161,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ICE ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
162,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
163,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
164,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
165,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
166,Intel Core i5-13600KF,Asus PROART B760-CREATOR D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
167,AMD Ryzen 5 5600,Gigabyte B550M DS3H Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
168,Intel Core i7-13700KF,ASRock Z790M-ITX WIFI Mini ITX LGA1700,64 GB (2 x 32 GB) DDR5-5200,RTX 4060 Ti,750 W
169,AMD Ryzen 9 7900X,MSI PRO B650M-A WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
170,AMD Ryzen 5 5600,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,850 W
171,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,750 W
172,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
173,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,1000 W
174,Intel Core i7-13700KF,Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
175,Intel Core i5-13600KF,ASRock Z790 PG SONIC ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
176,Intel Core i5-13600KF,Asus PRIME Z790-A WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,1000 W
177,Intel Core i5-13600KF,MSI MPG B760I EDGE WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,1000 W
178,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
179,Intel Core i5-13600KF,MSI MAG Z690 TOMAHAWK WIFI ATX,32 GB (2 x 16 GB) DDR5-4800,RTX 4070,850 W
180,AMD Ryzen 9 7900X,NZXT N7 B650E ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
181,AMD Ryzen 5 5600X,ASRock B550 Taichi Razer Edition ATX AM4,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,750 W
182,Intel Core i5-13600KF,MSI MPG Z790 EDGE WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
183,AMD Ryzen 7 7700X,ASRock B650I Lightning Wifi Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
184,AMD Ryzen 7 7700X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
185,Intel Core i5-13600KF,Gigabyte Z690 AORUS ULTRA ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,650 W
186,AMD Ryzen 9 7950X,Gigabyte B650 AORUS ELITE AX ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
187,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
188,Intel Core i5-13400F,Gigabyte B760M DS3H AX Micro ATX LGA1700,16 GB (2 x 8 GB) DDR5-6000,RTX 4070,700 W
189,Intel Core i5-13400F,Gigabyte B760M DS3H DDR4 Micro ATX LGA1700,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
190,AMD Ryzen 5 5600X,ASRock B550M Steel Legend Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,650 W
191,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE DDR4 ATX LGA1700,16 GB (2 x 8 GB) DDR4-3600,RTX 4080,1000 W
192,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
193,Intel Core i5-13600KF,ASRock B760M Steel Legend WiFi Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
194,Intel Core i7-13700F,MSI MAG B760M MORTAR WIFI II Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
195,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
196,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
197,Intel Core i5-13400F,Asus ROG STRIX B760-A GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
198,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,850 W
199,Intel Core i5-13400F,NZXT N7 Z790 ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4060,750 W
200,Intel Core i5-13600KF,MSI MAG B760M MORTAR WIFI Micro ATX LGA1700£179.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4060,750 W
201,AMD Ryzen 7 7700X,ASRock B650M Pro RS WiFi Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
202,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
203,Intel Core i7-13700KF,Asus PRIME Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1050 W
204,AMD Ryzen 9 7900X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
205,AMD Ryzen 9 7950X,Gigabyte X670E AORUS XTREME (rev. 1.0) EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
206,AMD Ryzen 5 5600X,MSI MPG B550 GAMING PLUS ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,500 W
207,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
208,Intel Core i5-13600KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
209,Intel Core i5-13600KF,MSI PRO Z790-P WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,750 W
210,Intel Core i7-13700KF,Gigabyte Z690 UD AX DDR4 ATX,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
211,Intel Core i5-13600KF,Gigabyte B760M DS3H DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
212,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
213,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
214,Intel Core i5-13600KF,Asus ROG STRIX B760-A GAMING WIFI D4 ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,850 W
215,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
216,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
217,AMD Ryzen 5 5600X,MSI PRO B550M-VC WIFI Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,650 W
218,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
219,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
220,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
221,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,650 W
222,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5 379.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
223,Intel Core i5-13600KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
224,Intel Core i7-13700KF,MSI PRO Z690-A ATX LGA1700€244.90,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
225,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
226,Intel Core i7-13700KF,MSI MPG Z790I EDGE WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
227,AMD Ryzen 5 5600X,Asus ROG STRIX B450-F GAMING II ATX,32 GB (2 x 16 GB) DDR4-3200,RTX 4070,750 W
228,AMD Ryzen 7 7700X,Asus TUF GAMING B650M-PLUS WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
229,Intel Core i7-13700KF,MSI Z790 GAMING PRO WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
230,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
231,Intel Core i7-13700KF,Gigabyte Z690 AERO G DDR4 ATX LGA1700 344.65,16 GB (2 x 8 GB) DDR4-4000,RTX 4090,1000 W
232,AMD Ryzen 9 7950X,ASRock X670E Taichi EATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
233,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
234,AMD Ryzen 5 5600,Gigabyte B550 AORUS ELITE AX V2 ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,750 W
235,Intel Core i5-13600KF,Gigabyte Z790I AORUS ULTRA Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
236,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
237,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-I GAMING WIFI Mini ITX AM5€520.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
238,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
239,Intel Core i7-13700KF,Asus ROG STRIX Z790-A GAMING WIFI D4 ATX LGA1700,64 GB (2 x 32 GB) DDR4-3600,RTX 4090,1200 W
240,Intel Core i5-13600KF,NZXT N7 Z790 ATX,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
241,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
242,Intel Core i7-13700KF,Gigabyte Z790 UD AC ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
243,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1000 W
244,Intel Core i5-13600KF,MSI MPG Z790I EDGE WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
245,Intel Core i5-13600KF,Asus PRIME Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
246,Intel Core i7-13700KF,MSI PRO Z690-A WIFI DDR4 ATX LGA1700,64 GB (2 x 32 GB) DDR4-3200,RTX 4090,1000 W
247,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4070 Ti,850 W
248,AMD Ryzen 9 7900X,Asus ProArt X670E-CREATOR WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
249,AMD Ryzen 7 7700X,MSI MAG X670E TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
250,AMD Ryzen 9 7900X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070,750 W
251,AMD Ryzen 7 7700X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
252,Intel Core i5-13600KF,ASRock Z790 Steel Legend WiFi ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,750 W
253,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1500 W
254,AMD Ryzen 9 7900X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
255,Intel Core i5-13400F,Gigabyte B760M AORUS ELITE AX Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,650 W
256,AMD Ryzen 9 7950X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
257,AMD Ryzen 7 7700X,Asus TUF GAMING B650M-PLUS WIFI Micro ATX AM5€220.91,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
258,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
259,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
260,AMD Ryzen 9 7900X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
261,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
262,AMD Ryzen 5 5600X,MSI PRO B550M-VC WIFI Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3600,RTX 4060 Ti,600 W
263,Intel Core i9-12900KF,Asus TUF GAMING Z690-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4060 Ti,750 W
264,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,96 GB (2 x 48 GB) DDR5-5200,RTX 4090,1000 W
265,Intel Core i7-13700KF,ASRock Z790 PG LIGHTNING ATX LGA1700,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,1000 W
266,AMD Ryzen 7 7700X,ASRock B650E STEEL LEGEND WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
267,AMD Ryzen 9 7900X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
268,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700€210.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
269,Intel Core i7-13700KF,ASRock B760M Steel Legend WiFi Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
270,Intel Core i7-13700KF,Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
271,Intel Core i5-13600KF,Asus ROG STRIX Z790-H GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
272,Intel Core i5-13600KF,Asus ProArt Z790-CREATOR WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
273,Intel Core i5-13600KF,Gigabyte Z690 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
274,AMD Ryzen 7 7700X,ASRock B650M Pro RS WiFi Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
275,AMD Ryzen 9 7900X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,1200 W
276,AMD Ryzen 9 7900X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
277,Intel Core i7-13700KF,MSI MAG Z690 TOMAHAWK WIFI ATX,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
278,Intel Core i5-13600KF,ASRock Z790M-ITX WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6800,RTX 4090,1000 W
279,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
280,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
281,AMD Ryzen 7 7700X,MSI MPG B650I EDGE WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
282,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,64 GB (2 x 32 GB) DDR5-5600,RTX 4070 Ti,850 W
283,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
284,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
285,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
286,Intel Core i7-13700KF,MSI Z790 GAMING PRO WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
287,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,850 W
288,Intel Core i5-13600KF,Asus PRIME Z690-A ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,1000 W
289,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
290,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,1600 W
291,AMD Ryzen 9 7900X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
292,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,850 W
293,Intel Core i5-13400F,MSI MPG B760I EDGE WIFI Mini ITX LGA1700£199.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
294,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
295,AMD Ryzen 9 7900X,Asus PRIME X670E-PRO WIFI ATX AM5,64 GB (4 x 16 GB) DDR5-5600,RTX 4090,1000 W
296,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
297,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
298,AMD Ryzen 7 7700X,MSI MPG B650 EDGE WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,850 W
299,Intel Core i5-13600KF,MSI B760 GAMING PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
300,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
301,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
302,AMD Ryzen 7 7700X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,750 W
303,Intel Core i5-13600KF,Asus ROG STRIX Z790-H GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
304,AMD Ryzen 9 7950X,MSI MPG B650 CARBON WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,850 W
