Build_No.,CPU,Motherboard,RAM,GPU,PSU
305,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1000 W
306,AMD Ryzen 5 5600X,Gigabyte B550 AORUS ELITE AX V2 ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4070,750 W
307,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,850 W
308,AMD Ryzen 9 7900X,ASRock X670E Pro RS ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
309,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
310,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
311,Intel Core i7-13700KF,ASRock Z790 Steel Legend WiFi ATX LGA1700,64 GB (4 x 16 GB) DDR5-5600,RTX 4090,1000 W
312,Intel Core i7-13700KF,Asus ROG STRIX Z790-H GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-7600,RTX 4080,1000 W
313,Intel Core i9-12900KF,Asus PRIME Z690-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
314,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
315,AMD Ryzen 9 7900X,ASRock X670E Steel Legend ATX AM5,64 GB (2 x 32 GB) DDR5-5200,RTX 4070 Ti,1000 W
316,Intel Core i5-13600KF,Asus TUF GAMING B760M-PLUS WIFI D4 Micro ATX LGA1700,64 GB (2 x 32 GB) DDR4-3200,RTX 4060 Ti,850 W
317,Intel Core i5-13600KF,Asus PRIME Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,650 W
318,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
319,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
320,AMD Ryzen 9 7950X,MSI MAG B650 TOMAHAWK WIFI ATX AM5£210.00,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,750 W
321,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
322,AMD Ryzen 9 7900X,MSI PRO X670-P WIFI ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
323,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,850 W
324,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
325,Intel Core i7-13700KF,Asus PRIME Z690-P WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1000 W
326,Intel Core i5-13600KF,Gigabyte Z790 D DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
327,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
328,Intel Core i5-13600KF,NZXT N5 Z690 ATX LGA1700£105.00,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
329,Intel Core i5-13600KF,MSI MPG Z790I EDGE WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,850 W
330,Intel Core i7-13700KF,MSI MPG Z790 EDGE WIFI ATX LGA1700 599.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
331,AMD Ryzen 7 7700X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
332,Intel Core i7-13700F,MSI MAG B760 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
333,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
334,Intel Core i7-13700KF,MSI MAG B760 TOMAHAWK WIFI ATX LGA1700£170.00,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
335,AMD Ryzen 9 7900X,Asus ProArt X670E-CREATOR WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
336,Intel Core i7-13700KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
337,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
338,AMD Ryzen 7 7700X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
339,Intel Core i5-13600KF,Asus ROG MAXIMUS Z790 HERO ATX LGA1700€586.66,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
340,AMD Ryzen 7 7700X,MSI PRO B650M-A WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
341,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,750 W
342,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
343,Intel Core i7-13700KF,MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
344,Intel Core i7-13700KF,MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
345,AMD Ryzen 9 7950X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
346,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
347,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
348,AMD Ryzen 5 5600X,Gigabyte B550 GAMING X V2 ATX AM4,16 GB (2 x 8 GB) DDR4-3600,RTX 4060 Ti,650 W
349,Intel Core i7-13700KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
350,AMD Ryzen 7 7700X,Gigabyte B650 AORUS PRO AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
351,AMD Ryzen 9 7900X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1200 W
352,Intel Core i5-13600KF,Asus ROG STRIX B760-A GAMING WIFI D4 ATX,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,850 W
353,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
354,AMD Ryzen 9 7900X,MSI MPG X670E CARBON WIFI ATX AM5,64 GB (4 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
355,Intel Core i7-13700F,Gigabyte B760M AORUS ELITE AX DDR4 Micro ATX,16 GB (1 x 16 GB) DDR4-3200,RTX 4070,750 W
356,AMD Ryzen 7 7700X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
357,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (1 x 32 GB) DDR5-6000,RTX 4070,750 W
358,AMD Ryzen 9 7950X,Asus PRIME X670E-PRO WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
359,AMD Ryzen 7 7700X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
360,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
361,Intel Core i5-13600KF,MSI MAG B760M MORTAR WIFI Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
362,Intel Core i5-13400F,MSI PRO B760-P WIFI DDR4 ATX LGA1700£126.48,32 GB (2 x 16 GB) DDR4-3200,RTX 4060,750 W
363,AMD Ryzen 9 7950X,MSI MAG X670E TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
364,AMD Ryzen 9 7950X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4070,850 W
365,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
366,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
367,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
368,AMD Ryzen 7 7700X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4070,750 W
369,Intel Core i5-13400F,Gigabyte B760I AORUS PRO DDR4 Mini ITX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
370,AMD Ryzen 9 7900X,MSI PRO X670-P WIFI ATX AM5 300.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
371,AMD Ryzen 5 5600,MSI B550M PRO-VDH WIFI Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,850 W
372,Intel Core i7-13700KF,Gigabyte Z790 UD AX ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
373,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
374,AMD Ryzen 5 5600X,MSI MAG X570S TOMAHAWK MAX WIFI ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
375,AMD Ryzen 7 7700X,Gigabyte B650I AORUS ULTRA Mini ITX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4080,750 W
376,AMD Ryzen 5 5600X,Asus TUF GAMING X570-PLUS (WI-FI) ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
377,Intel Core i7-13700KF,Asus TUF GAMING B760M-PLUS WIFI Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
378,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
379,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,16 GB (2 x 8 GB) DDR5-5200,RTX 4070 Ti,750 W
380,Intel Core i5-13600KF,Gigabyte Z790 GAMING X AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
381,AMD Ryzen 9 7900X,MSI MAG X670E TOMAHAWK WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
382,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E GENE Micro ATX AM5€525.88,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
383,Intel Core i5-13600KF,Gigabyte B760M AORUS ELITE AX Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
384,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070 Ti,850 W
385,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
386,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,850 W
387,Intel Core i7-13700KF,Gigabyte Z690 AORUS ELITE AX ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
388,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,750 W
389,AMD Ryzen 9 7900X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5 500.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
390,Intel Core i5-13600KF,Asus PRIME Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
391,Intel Core i7-13700F,Asus TUF GAMING B760-PLUS WIFI D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
392,AMD Ryzen 9 7900X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-7200,RTX 4080,1200 W
393,AMD Ryzen 9 7950X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
394,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
395,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
396,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,1000 W
397,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
398,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
399,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
400,AMD Ryzen 7 7700X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
401,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
402,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
403,AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING WIFI II ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
404,Intel Core i7-13700KF,Asus ROG STRIX Z790-A GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
405,Intel Core i5-13600KF,MSI PRO Z790-P WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
406,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
407,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
408,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
409,AMD Ryzen 5 5600,Gigabyte B550M DS3H AC Micro ATX AM4£95.00,16 GB (2 x 8 GB) DDR4-3600,RTX 4070,650 W
410,Intel Core i5-13600KF,NZXT N5 Z690 ATX LGA1700£100.00,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,750 W
411,Intel Core i7-13700KF,Asus ROG STRIX Z690-A GAMING WIFI D4 ATX LGA1700£280.00,32 GB (4 x 8 GB) DDR4-3600,RTX 4080,1000 W
412,AMD Ryzen 9 7900X,ASRock B650E PG-ITX WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4070,750 W
413,AMD Ryzen 9 7900X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
414,Intel Core i5-13600KF,NZXT N7 Z790 ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
415,AMD Ryzen 9 7950X,MSI MAG X670E TOMAHAWK WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1000 W
416,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
417,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
418,Intel Core i5-13600KF,Asus PRIME Z690-P WIFI D4 ATX,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
419,AMD Ryzen 9 7900X,ASRock B650E STEEL LEGEND WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-7200,RTX 4070,850 W
420,AMD Ryzen 5 5600X,MSI B550M PRO-VDH WIFI Micro ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,750 W
421,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
422,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
423,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5€246.72,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
424,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
425,AMD Ryzen 9 7950X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
426,AMD Ryzen 9 7900X,Asus ROG CROSSHAIR X670E GENE Micro ATX AM5£534.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
427,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700 399.59,32 GB (2 x 16 GB) DDR5-7200,RTX 4080,1000 W
428,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
429,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
430,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,1000 W
431,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
432,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
433,AMD Ryzen 9 7950X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
434,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
435,Intel Core i7-13700KF,Asus ROG STRIX Z790-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-7600,RTX 4090,1000 W
436,Intel Core i5-13600KF,Gigabyte Z790 GAMING X AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,750 W
437,Intel Core i5-13600KF,MSI MAG Z690 TOMAHAWK WIFI ATX,32 GB (2 x 16 GB) DDR5-4800,RTX 4070,850 W
438,Intel Core i5-13600KF,Gigabyte B760M GAMING X AX DDR4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
439,Intel Core i5-13600KF,Gigabyte Z790 GAMING X ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
440,AMD Ryzen 9 7900X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
441,AMD Ryzen 5 5600X,Asus TUF GAMING X570-PRO (WI-FI) ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4080,850 W
442,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
443,AMD Ryzen 9 7900X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
444,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
445,AMD Ryzen 9 7900X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
446,AMD Ryzen 9 7950X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
447,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,850 W
448,Intel Core i7-13700KF,MSI PRO Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
449,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
450,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1600 W
451,Intel Core i5-13600KF,Asus ROG STRIX B760-A GAMING WIFI D4 ATX LGA1700€245.00,32 GB (4 x 8 GB) DDR4-3600,RTX 4070,850 W
452,Intel Core i5-13600KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
453,AMD Ryzen 9 7900X,Asus ProArt X670E-CREATOR WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
454,AMD Ryzen 7 7700X,ASRock B650E PG RIPTIDE WIFI ATX AM5£183.00,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
455,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,750 W
